image,PSNR_dB,SSIM,LPIPS
000087,19.60566979762872,0.7345475210796036,0.204197496175766
000088,35.85683250749962,0.94664922863698,0.1238114535808563
000089,30.007658587610948,0.8602761600749423,0.1530702114105224
000090,30.89698149376728,0.880815581047073,0.1832242906093597
000091,30.77281613201523,0.8750337097154259,0.1822464615106582
000092,25.91716359247336,0.6865553067846774,0.2699334025382995
000093,34.86758006049888,0.857394207218647,0.3095166981220245
000094,32.94580909059011,0.840910557941854,0.248118594288826
000095,35.02276777309303,0.8599917476539611,0.3075648844242096
000096,20.54949653359449,0.6965706774020269,0.2483302652835846
000097,28.90872172514956,0.7824969285562039,0.5474757552146912
000098,29.12384447509752,0.7787577871090025,0.5378169417381287
000099,28.781460831453156,0.7781834347651452,0.5387716293334961
000100,31.78984343281681,0.8729558264121413,0.1624811291694641
000101,33.593606982027204,0.8332962313690185,0.429953932762146
000102,33.03492622214704,0.821639515175581,0.3946993350982666
000103,32.9919374005729,0.8170833484082222,0.4369851946830749
000104,27.057268474203763,0.7751859184929318,0.2598126828670501
000105,33.384952633631,0.9521931555008888,0.0595604181289672
000106,34.5343089242433,0.9609382435965538,0.0467704012989997
000107,33.15590583865913,0.9548968510988056,0.0551982745528221
000108,18.643761473917685,0.6544229700894998,0.2538256049156189
000109,22.32409528560573,0.8042310833444968,0.1357247531414032
000110,23.58199900640772,0.8086485752839744,0.1522087603807449
000111,23.71395827710876,0.8036297048833966,0.1438104808330536
000112,25.82443022222644,0.7361524894459993,0.2637062668800354
000113,31.641093083111592,0.767878658782959,0.4851710796356201
000114,30.89310397534464,0.7514675251106023,0.3735013604164123
000115,29.42821408273859,0.8821115313711385,0.2476444244384765
000116,25.45694351804468,0.6667930250253263,0.3134575188159942
000117,26.207155636262485,0.7181831762009822,0.2236435115337371
000118,26.489009411598836,0.724990427848163,0.2334553897380828
000119,25.932363190920206,0.6974359108212814,0.2124496400356292
000120,27.94021190570776,0.840930926903715,0.2340037077665329
000121,32.78486863106921,0.933992186290264,0.0868131294846534
000122,30.777124923311845,0.8965625689411759,0.0995226353406906
000123,30.94134787706347,0.9110640915939612,0.0882294178009033
000124,22.960597144893725,0.8095949370045848,0.1880964636802673
000125,26.51367079691445,0.8145929560898766,0.1641269922256469
000126,26.76156487600057,0.8215120590499788,0.1619641482830047
000127,26.576824746491084,0.8216414952354133,0.1589185446500778
000128,32.98053231508124,0.7864346079297065,0.3172025978565216
000129,23.25991753765198,0.7870801345113994,0.2402526140213012
000130,23.763188689229075,0.8100996356302276,0.2281389534473419
000131,23.873860568177754,0.8127762204912771,0.2289859354496002
000132,30.58614928589908,0.8678245990253985,0.3108358979225158
000133,21.999333844022622,0.4682570358529579,0.4927357733249664
000134,25.989400560827143,0.576365556882985,0.3873355984687805
000135,21.563201035858203,0.4693317558056465,0.4931715428829193
000136,28.157100365490383,0.863761847094819,0.2055550515651703
000137,28.806361766612845,0.738877742819786,0.2681911289691925
000138,28.448606116841376,0.7289964174290001,0.2763737738132477
000139,28.77147637174314,0.7309530136300325,0.2476584613323211
000140,23.515417438785175,0.7757186881645052,0.1387568563222885
000141,24.30508355570259,0.8478098210687344,0.0915925651788711
000142,24.273734339614307,0.8477959154935312,0.0866708755493164
000143,23.96796563412908,0.825317724769718,0.1035286411643028
000144,27.12529744849446,0.6535588200293183,0.3150172829627991
000145,30.91001125855946,0.5849500436475277,0.3570781350135803
000146,30.468780619188067,0.5752661370120049,0.3139094114303589
000147,30.92284845846508,0.5864440271065235,0.3532504439353943
000148,25.062469150520165,0.7130509702005465,0.299561470746994
000149,28.47453415163946,0.5115708174070492,0.6212688684463501
000150,28.33605479671717,0.518506130122453,0.5978441834449768
000151,28.35478222406309,0.5107594025191982,0.6174948811531067
000152,22.86642117928052,0.6027095273910829,0.3792889416217804
000153,29.76936114791925,0.7041268135457038,0.708527684211731
000154,30.362914601299977,0.7402031586549283,0.6878951191902161
000155,30.03448470159409,0.7199458906043767,0.52241051197052
000156,26.01145995565512,0.880468200114131,0.0747857168316841
000157,31.251261272708312,0.9209283714216352,0.1170620620250701
000158,31.58102591549906,0.9294668316677808,0.1123564541339874
000159,31.88052883292987,0.9342862507346572,0.1180118024349212
000160,30.716159919278184,0.8944813567698002,0.1379594206809997
000161,30.653103487275462,0.9008230150797368,0.1163598299026489
000162,30.16568610790661,0.9019484883583336,0.1203996390104293
000163,30.9022991825615,0.9124050862674712,0.1415242105722427
000164,25.1846544950425,0.7295095747277923,0.2570736706256866
000165,30.100017118715947,0.846224979528361,0.1543105840682983
000166,30.158169451257155,0.8281390299183279,0.129533901810646
000167,30.42721486459335,0.8296703406868353,0.1287081092596054
000168,24.00622038094671,0.7351719452037451,0.2661489844322204
000169,32.666414408199685,0.7908643266358375,0.4139541983604431
000170,33.30997163909879,0.8219061952393204,0.4405029118061065
000171,34.20390615304764,0.9249191899552344,0.2496346235275268
000172,27.9024691823776,0.5108109935493804,0.5690129399299622
